"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"DEVBANK","2023-08-06","3890.8","3911.85","3777.64","3791.1","-2.51","164266287.8"
"DEVBANK","2023-08-03","3901.93","3947.71","3878.9","3888.62","-0.21","148478901.5"
"DEVBANK","2023-08-02","3857.31","3899.19","3828.14","3896.64","1.02","119223603.3"
"DEVBANK","2023-08-01","3935.63","3982.82","3829.66","3857.31","-1.94","179765341.7"
"DEVBANK","2023-07-31","3915.44","3980.49","3909.92","3933.56","0.46","161945060.1"
"DEVBANK","2023-07-30","3974.6","4024.17","3879.19","3915.44","-1.49","182607479.2"
"DEVBANK","2023-07-27","4027.32","4081.94","3963.17","3974.6","-1.17","236391298.3"
"DEVBANK","2023-07-26","4041.18","4098.98","4005.37","4021.65","-0.46","222195269.8"
"DEVBANK","2023-07-25","4141.6","4147.24","4019.32","4040.32","-2.09","293537217.1"
"DEVBANK","2023-07-24","4284.12","4284.41","4114.69","4126.46","-3.51","499431260.6"
"DEVBANK","2023-07-23","4081.02","4276.42","4079.48","4276.38","4.79","634396350.6"
"DEVBANK","2023-07-20","4062.41","4103.58","4052.37","4081.01","0.27","334257919.7"
"DEVBANK","2023-07-19","4020.9","4082.77","3996.25","4070.05","1.22","346195515.8"
"DEVBANK","2023-07-18","4062.32","4104.46","4015","4020.9","-0.88","314142112.2"
"DEVBANK","2023-07-17","3897.99","4059.53","3862.88","4056.49","4.14","322281906.3"
"DEVBANK","2023-07-16","3874.21","3916.32","3838.85","3895.16","0.54","118450984.6"
"DEVBANK","2023-07-13","3937.49","3984.54","3867.36","3874.2","-1.61","191856272.3"
"DEVBANK","2023-07-12","3906.62","3983.49","3906.62","3937.49","0.79","196861258.6"
"DEVBANK","2023-07-11","3777.51","3945.34","3777.51","3906.62","3.42","345190695.8"
"DEVBANK","2023-07-10","3780.3","3838.27","3767.39","3777.51","-0.07","157609296.6"
"DEVBANK","2023-07-09","3720.96","3801.26","3720.96","3780.29","1.59","132534136.6"
"DEVBANK","2023-07-06","3712.9","3772.86","3683.76","3720.95","0.22","107791655"
"DEVBANK","2023-07-05","3772.76","3806.54","3704.44","3712.9","-1.68","126947094.3"
"DEVBANK","2023-07-04","3745.13","3813.7","3738.69","3776.18","0.83","99260451.6"
"DEVBANK","2023-07-03","3778.04","3842.22","3730.39","3745.13","-0.87","189176260"
"DEVBANK","2023-07-02","3914.26","3924.39","3771.82","3778.04","-3.48","225435920.5"
"DEVBANK","2023-06-28","4011.61","4057.11","3908.94","3914.25","-2.43","244365181.5"
"DEVBANK","2023-06-27","3958.74","4021.77","3949.28","4011.61","1.36","327472375"
"DEVBANK","2023-06-26","3940.03","4016.51","3910.72","3957.9","0.64","320956080.5"
"DEVBANK","2023-06-25","3758.05","3968.95","3758.05","3932.74","4.65","331679109.3"
"DEVBANK","2023-06-22","3781.36","3830.13","3729.9","3758.05","-0.62","129797542.4"
"DEVBANK","2023-06-21","3833.42","3884.11","3765.74","3781.36","-1.36","166389264.3"
"DEVBANK","2023-06-20","3899.39","4027.44","3817.64","3833.41","-1.52","444389852.9"
"DEVBANK","2023-06-19","3761.17","3919.25","3759.14","3892.53","3.49","373878284.5"
