"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"HYDROPOWER","2023-08-06","2252.92","2265.36","2190.81","2212.25","-1.97","300950089.5"
"HYDROPOWER","2023-08-03","2274.34","2289.88","2249.17","2256.74","-0.58","265303238.2"
"HYDROPOWER","2023-08-02","2281","2283.77","2240.06","2269.89","-0.25","288686534.7"
"HYDROPOWER","2023-08-01","2306.06","2324.71","2263.84","2275.57","-1.30","381899576.1"
"HYDROPOWER","2023-07-31","2314.66","2325.01","2294.53","2305.54","-0.37","261846422.1"
"HYDROPOWER","2023-07-30","2347.41","2353.68","2299.25","2314.12","-1.43","357464103.8"
"HYDROPOWER","2023-07-27","2373.63","2387.33","2338.63","2347.77","-1.10","335216046.8"
"HYDROPOWER","2023-07-26","2398.83","2398.87","2365.36","2373.87","-0.92","294988126.2"
"HYDROPOWER","2023-07-25","2424.26","2424.51","2384.65","2395.97","-1.10","412541663.8"
"HYDROPOWER","2023-07-24","2437.55","2463.65","2405.41","2422.61","-0.50","554171126"
"HYDROPOWER","2023-07-23","2394.75","2437.74","2387.18","2434.87","1.70","454973043.3"
"HYDROPOWER","2023-07-20","2370.86","2416.28","2355.79","2394.09","0.94","508549517.3"
"HYDROPOWER","2023-07-19","2388.18","2397.87","2359.41","2371.7","-0.82","300722335.9"
"HYDROPOWER","2023-07-18","2402.19","2416.45","2375.98","2391.39","-0.41","334434211"
"HYDROPOWER","2023-07-17","2366.57","2401.31","2344.69","2401.3","1.44","299099902.3"
"HYDROPOWER","2023-07-16","2390.52","2397.1","2342.82","2367.11","-0.73","380078704.7"
"HYDROPOWER","2023-07-13","2435.73","2464.53","2370.22","2384.53","-1.88","719041208.1"
"HYDROPOWER","2023-07-12","2327.41","2431.17","2314.53","2430.13","4.41","677586123.9"
"HYDROPOWER","2023-07-11","2354.09","2356.57","2312.51","2327.41","-1.19","406377087.9"
"HYDROPOWER","2023-07-10","2387.07","2398.22","2337.1","2355.4","-1.31","529603524.3"
"HYDROPOWER","2023-07-09","2393.88","2413.79","2364.51","2386.78","0.01","672439744.4"
"HYDROPOWER","2023-07-06","2366.39","2393.91","2332.06","2386.66","0.92","590946549.9"
"HYDROPOWER","2023-07-05","2423.94","2429.3","2356.59","2364.89","-2.33","467337790"
"HYDROPOWER","2023-07-04","2425.07","2441.39","2392.37","2421.25","0.14","406614040.5"
"HYDROPOWER","2023-07-03","2451.27","2465.77","2404.81","2417.92","-1.34","629779465.2"
"HYDROPOWER","2023-07-02","2531.24","2534.98","2440.95","2450.78","-3.15","741047176"
"HYDROPOWER","2023-06-28","2583.54","2588.58","2511.1","2530.46","-1.96","800790600.7"
"HYDROPOWER","2023-06-27","2552.51","2583.2","2509.27","2581.11","1.56","791857039"
"HYDROPOWER","2023-06-26","2558.38","2593.52","2521.53","2541.37","-0.44","782028720.4"
"HYDROPOWER","2023-06-25","2508.3","2552.49","2473.82","2552.48","1.85","1000068832.9"
"HYDROPOWER","2023-06-22","2549.55","2562.24","2478.16","2506.04","-1.60","700104397.2"
"HYDROPOWER","2023-06-21","2592.76","2597.79","2526.76","2546.79","-1.62","748169133.1"
"HYDROPOWER","2023-06-20","2654.37","2660.04","2559.28","2588.66","-2.46","955208447.56"
"HYDROPOWER","2023-06-19","2675.52","2685.24","2626.59","2653.95","-0.74","982079942.1"
"HYDROPOWER","2023-06-18","2570.46","2673.76","2567.41","2673.75","3.97","1222699334.7"
"HYDROPOWER","2023-06-15","2584.21","2591.63","2545.74","2571.74","-0.33","825669666"
"HYDROPOWER","2023-06-14","2569.82","2625.75","2546.51","2580.16","0.47","1372552735.5"
"HYDROPOWER","2023-06-13","2519.53","2591.21","2501.43","2568.1","1.93","1079639077.4"
"HYDROPOWER","2023-06-12","2530.65","2560.4","2495.78","2519.53","-0.31","764385474.1"
"HYDROPOWER","2023-06-11","2471.11","2527.53","2466.05","2527.41","2.27","821556887.8"
"HYDROPOWER","2023-06-08","2492.17","2492.35","2461.44","2471.38","-0.77","495788220.1"
"HYDROPOWER","2023-06-07","2484.96","2524.27","2475.87","2490.51","0.46","784608706.5"
"HYDROPOWER","2023-06-06","2407.77","2479.03","2385.24","2479.02","3.15","692906165.3"
"HYDROPOWER","2023-06-05","2416.17","2447.2","2390.57","2403.27","-0.48","601436675.7"
"HYDROPOWER","2023-06-04","2323.4","2421.11","2317.93","2414.78","3.93","463828896.4"
