"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"MANUFACTURE","2023-08-06","5694.24","5747.64","5586.46","5610.21","-1.48","148856863.5"
"MANUFACTURE","2023-08-03","5699.77","5772.56","5652.48","5694.23","0.28","145541518.9"
"MANUFACTURE","2023-08-02","5660.34","5700.36","5610.48","5678.18","0.32","135422738"
"MANUFACTURE","2023-08-01","5737.12","5810.5","5658.34","5660.34","-1.34","113448921.8"
"MANUFACTURE","2023-07-31","5711.36","5782.37","5705.72","5737.12","0.45","117560143.8"
"MANUFACTURE","2023-07-30","5744.16","5808.52","5670.93","5711.36","-0.57","216180850.6"
"MANUFACTURE","2023-07-27","5857.62","5919.26","5739.7","5744.15","-1.94","166187965"
"MANUFACTURE","2023-07-26","5906.97","5967.31","5825.19","5857.61","-0.84","179312013.8"
"MANUFACTURE","2023-07-25","5897.46","6024.71","5897.46","5906.96","-0.23","180420322.4"
"MANUFACTURE","2023-07-24","6034.37","6083.9","5920.31","5920.31","-1.89","244108718.4"
"MANUFACTURE","2023-07-23","5951.47","6064.57","5918.27","6034.55","1.55","286745023.4"
"MANUFACTURE","2023-07-20","5860.37","5995.39","5860.37","5942.4","1.40","235104830.5"
"MANUFACTURE","2023-07-19","5821.73","5993.46","5807.58","5860.37","1.14","226387455.5"
"MANUFACTURE","2023-07-18","5739.79","5803.58","5696.24","5794.17","1.36","265185179.6"
"MANUFACTURE","2023-07-17","5637.51","5728.54","5604.31","5716.21","1.40","201667605.4"
"MANUFACTURE","2023-07-16","5612.77","5664.98","5611.51","5637.51","0.44","230278130.9"
"MANUFACTURE","2023-07-13","5667.61","5708.27","5591.65","5612.77","-0.65","310142998.4"
"MANUFACTURE","2023-07-12","5589.99","5697.23","5576.39","5649.47","1.06","414990522"
"MANUFACTURE","2023-07-11","5571.6","5608.55","5512.5","5589.99","0.33","188455465.9"
"MANUFACTURE","2023-07-10","5521.84","5629.53","5507.76","5571.6","0.97","240284407.9"
"MANUFACTURE","2023-07-09","5442.97","5518.22","5413.62","5518.21","1.79","233894555.7"
"MANUFACTURE","2023-07-06","5389.61","5467.96","5298.22","5421.39","0.59","260603645.2"
"MANUFACTURE","2023-07-05","5495.41","5495.41","5386.98","5389.61","-1.93","244293562.9"
"MANUFACTURE","2023-07-04","5477.1","5521.16","5451.12","5495.4","0.73","181284435.3"
"MANUFACTURE","2023-07-03","5495.96","5565.07","5443.46","5455.33","-1.13","267756496.2"
"MANUFACTURE","2023-07-02","5647.03","5695.16","5489.11","5517.9","-2.29","423626934.4"
"MANUFACTURE","2023-06-28","5735.37","5773.61","5642.76","5647.02","-1.54","414373266.7"
"MANUFACTURE","2023-06-27","5750.8","5810.39","5729.73","5735.36","-0.17","357645997.6"
"MANUFACTURE","2023-06-26","5786.89","5885.04","5740.79","5745.35","0.50","660450808.8"
"MANUFACTURE","2023-06-25","5526.91","5747.84","5477.2","5716.87","4.33","747219151.2"
"MANUFACTURE","2023-06-22","5547.95","5625.45","5457.3","5479.83","-0.42","308812807.4"
"MANUFACTURE","2023-06-21","5507.27","5608.65","5467.65","5502.87","0.27","414183343.8"
"MANUFACTURE","2023-06-20","5471.97","5619.44","5450.2","5487.86","0.17","335970782.4"
"MANUFACTURE","2023-06-19","5511.09","5558.95","5399.05","5478.31","-0.95","430760659.1"
"MANUFACTURE","2023-06-18","5387.76","5536.48","5351.71","5530.85","2.64","515359613.4"
"MANUFACTURE","2023-06-15","5380.71","5487.28","5276.84","5388.84","0.15","282057420.5"
"MANUFACTURE","2023-06-14","5364.69","5567.85","5300.84","5380.53","0.64","536298784.3"
"MANUFACTURE","2023-06-13","5124.8","5477","5148.18","5346.37","4.32","469748622.7"
"MANUFACTURE","2023-06-12","5056.77","5188.34","5031.83","5124.8","2.05","179021810.4"
"MANUFACTURE","2023-06-11","4850.69","5055.98","4845.39","5021.81","3.53","200130741.6"
"MANUFACTURE","2023-06-08","4888.79","4923.81","4846.87","4850.68","-0.78","116721250.6"
"MANUFACTURE","2023-06-07","4861.67","4940.12","4861.67","4888.78","0.56","120665409.7"
"MANUFACTURE","2023-06-06","4813.35","4894.64","4776.11","4861.67","1.00","123409261.9"
"MANUFACTURE","2023-06-05","4934.65","4994.97","4806.99","4813.34","-2.46","242369134.9"
"MANUFACTURE","2023-06-04","4776.81","4934.83","4776.81","4934.64","3.30","194184758.2"
"MANUFACTURE","2023-06-01","4721.45","4796.7","4708.74","4776.8","1.17","143229757.6"
"MANUFACTURE","2023-05-31","4894.41","4894.41","4706.37","4721.45","-3.53","164698463.2"
"MANUFACTURE","2023-05-30","4977.85","4981.48","4782.43","4894.4","-1.55","275863790.4"
"MANUFACTURE","2023-05-28","4929.18","5098.2","4825.95","4971.58","1.01","300829314"
"MANUFACTURE","2023-05-24","4701.27","4939.1","4681.06","4921.92","4.69","230818039.9"
"MANUFACTURE","2023-05-23","4518.26","4709.58","4518.26","4701.26","4.05","218674900.6"
"MANUFACTURE","2023-05-22","4406.89","4519.37","4406.89","4518.26","2.53","111505976.7"
"MANUFACTURE","2023-05-21","4434.49","4487.98","4403.18","4406.89","-0.62","100152045.5"
"MANUFACTURE","2023-05-18","4377.92","4448.54","4358.71","4434.49","0.96","96946262.4"
"MANUFACTURE","2023-05-17","4354.61","4393.9","4333.74","4392.42","0.87","70593262.2"
"MANUFACTURE","2023-05-16","4349.36","4382.27","4336.84","4354.61","0.12","49118295"
"MANUFACTURE","2023-05-15","4326.66","4349.36","4294.15","4349.35","0.52","48879369.4"
"MANUFACTURE","2023-05-14","4393.72","4414.32","4298.9","4326.65","-1.58","88240365.2"
"MANUFACTURE","2023-05-11","4395.97","4408.33","4379.59","4395.9","-0.00","36016598.3"
"MANUFACTURE","2023-05-10","4384.45","4404.14","4344.76","4395.96","0.60","48000161.5"
"MANUFACTURE","2023-05-09","4311.34","4375.48","4306.34","4369.93","1.36","65795275.9"
"MANUFACTURE","2023-05-08","4341.54","4376.84","4298.82","4311.34","-0.70","65555617.6"
"MANUFACTURE","2023-05-07","4347.95","4358.13","4324.04","4341.54","-0.15","47467122.3"
"MANUFACTURE","2023-05-04","4321.72","4369.2","4321.72","4347.95","0.61","39702564.8"
"MANUFACTURE","2023-05-03","4321.16","4368.46","4293.34","4321.71","0.01","61791960.3"
"MANUFACTURE","2023-05-02","4311.29","4348.19","4293.79","4321.15","0.23","50348810"
"MANUFACTURE","2023-04-30","4352.51","4367.61","4301.37","4311.28","-0.95","64148398.1"
"MANUFACTURE","2023-04-27","4408.93","4417.45","4341.86","4352.51","-1.28","55001564.8"
"MANUFACTURE","2023-04-26","4443.65","4521.78","4408.93","4408.93","-0.78","97510161.3"
"MANUFACTURE","2023-04-25","4365.02","4456.57","4356","4443.65","1.80","94557704.8"
"MANUFACTURE","2023-04-24","4339.04","4389.79","4306.27","4365.02","0.60","53883829.3"
"MANUFACTURE","2023-04-23","4353.43","4374.15","4321.66","4339.04","-0.33","50375875.6"
